Entity,Code,Political regime
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,1
Afghanistan,AFG,1
Afghanistan,AFG,1
Afghanistan,AFG,1
Afghanistan,AFG,1
Afghanistan,AFG,1
Afghanistan,AFG,1
Afghanistan,AFG,1
Afghanistan,AFG,1
Afghanistan,AFG,1
Afghanistan,AFG,1
Afghanistan,AFG,1
Afghanistan,AFG,1
Afghanistan,AFG,1
Afghanistan,AFG,1
Afghanistan,AFG,1
Afghanistan,AFG,0
Afghanistan,AFG,0
Afghanistan,AFG,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,1
Albania,ALB,1
Albania,ALB,1
Albania,ALB,1
Albania,ALB,1
Albania,ALB,1
Albania,ALB,1
Albania,ALB,1
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,1
Albania,ALB,1
Albania,ALB,1
Albania,ALB,1
Albania,ALB,1
Albania,ALB,1
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,1
Albania,ALB,1
Albania,ALB,1
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,0
Albania,ALB,1
Albania,ALB,1
Albania,ALB,1
Albania,ALB,1
Albania,ALB,1
Albania,ALB,1
Albania,ALB,1
Albania,ALB,1
Albania,ALB,1
Albania,ALB,1
Albania,ALB,1
Albania,ALB,1
Albania,ALB,1
Albania,ALB,1
Albania,ALB,2
Albania,ALB,2
Albania,ALB,2
Albania,ALB,2
Albania,ALB,2
Albania,ALB,2
Albania,ALB,2
Albania,ALB,2
Albania,ALB,2
Albania,ALB,2
Albania,ALB,2
Albania,ALB,2
Albania,ALB,2
Albania,ALB,2
Albania,ALB,2
Albania,ALB,2
Albania,ALB,2
Albania,ALB,2
Albania,ALB,2
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,1
Algeria,DZA,1
Algeria,DZA,1
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,0
Algeria,DZA,1
Algeria,DZA,1
Algeria,DZA,1
Algeria,DZA,1
Algeria,DZA,1
Algeria,DZA,1
Algeria,DZA,1
Algeria,DZA,1
Algeria,DZA,1
Algeria,DZA,1
Algeria,DZA,1
Algeria,DZA,1
Algeria,DZA,1
Algeria,DZA,1
Algeria,DZA,1
Algeria,DZA,1
Algeria,DZA,1
Algeria,DZA,1
Algeria,DZA,1
Algeria,DZA,1
Algeria,DZA,1
Algeria,DZA,1
Algeria,DZA,1
Algeria,DZA,1
Algeria,DZA,1
Algeria,DZA,1
Algeria,DZA,1
Algeria,DZA,1
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
Angola,AGO,0
